R-LO 1080000 1080000 2400 2400   300 300   512 16 32 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 1 1 0 0 1200 1200 1200   47.7092 17 820   47.7092 17 820   57.7967 2 1053   0.374379 8.505536   720280789636.628418 720280789387.215332 57.363328 192.049759    48.754711 1477.960345 0.000000 0.000000 0.335856    8.345338e+15 8.048022e+13 8.264858e+15 1.082840e+13 8.334510e+15 0.009738 0.001299   fb4176b12d1f7402858ebf73ac1db0bc97bf6ca1    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 32 -N 1080000 -t 2400 -e 1e-8 --maxrank 1200 -j 1080000 -v -c 31 --genmaxrank 1200 --compmaxrank 1200 -D 4 -Z 1 -F 0 -Y 1 -z 300 -E 0 "
R-LO 2160000 2160000 2700 2700   300 300   512 16 32 31   4 st-3d-exp 1.0e-08 2.16e+06 0 1.67982e-322   0 1 1 0 0 1350 1350 1350   36.9586 15 854   36.9586 15 854   45.9782 2 1115   1.013054 33.989141   1280501275691.054932 1280501275102.129150 138.010557 450.915193    194.087144 3289.916698 0.000000 0.000000 1.993062    3.143722e+16 2.461644e+14 3.119106e+16 2.596146e+13 3.141126e+16 0.007892 0.000827   fb4176b12d1f7402858ebf73ac1db0bc97bf6ca1    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 32 -N 2160000 -t 2700 -e 1e-8 --maxrank 1350 -j 2160000 -v -c 31 --genmaxrank 1350 --compmaxrank 1350 -D 4 -Z 1 -F 0 -Y 1 -z 300 -E 0 "
R-LO 3240000 3240000 3000 3000   300 300   512 16 32 31   4 st-3d-exp 1.0e-08 3.24e+06 0 1.67982e-322   0 1 1 0 0 1500 1500 1500   33.0025 12 980   33.0025 12 980   41.6192 2 1253   1.820376 76.450815   1728682244798.704102 1728682243732.270020 250.872855 815.561382    487.060239 5868.974527 0.000000 0.000000 5.272004    7.030287e+16 4.927551e+14 6.981011e+16 4.763737e+13 7.025523e+16 0.007059 0.000678   fb4176b12d1f7402858ebf73ac1db0bc97bf6ca1    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 32 -N 3240000 -t 3000 -e 1e-8 --maxrank 1500 -j 3240000 -v -c 31 --genmaxrank 1500 --compmaxrank 1500 -D 4 -Z 1 -F 0 -Y 1 -z 300 -E 0 "
R-LO 4320000 4320000 3375 3375   300 300   512 16 32 31   4 st-3d-exp 1.0e-08 4.32e+06 0 9.53377e-307   0 1 1 0 0 1687 1687 1687   31.0706 15 1053   31.0706 15 1053   39.9534 2 1370   2.710347 135.852713   2048819642890.789551 2048819641188.607910 405.797158 1296.384434    953.316222 9290.342834 0.000000 0.000000 8.892182    1.212678e+17 8.316019e+14 1.204362e+17 7.693285e+13 1.211909e+17 0.006905 0.000635   fb4176b12d1f7402858ebf73ac1db0bc97bf6ca1    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 32 -N 4320000 -t 3375 -e 1e-8 --maxrank 1687 -j 4320000 -v -c 31 --genmaxrank 1687 --compmaxrank 1687 -D 4 -Z 1 -F 0 -Y 1 -z 300 -E 0 "
