R-LO 1080000 1080000 1500 1500   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 16 1 0 1 750 750 750   36.8976 16 645   37.522 2 645   3453051668709.086914 1152083967134.020752 1150483850762.905762 1150483850812.160156    72.401943 545.469181 0.271326 0.435532 2.360551    6.947173e+15 1.159077e+15 5.788096e+15 8.089065e+12 6.939084e+15 0.200252 0.001166   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 1500 -e 1e-8 --maxrank 750 -j 1080000 -v -c 31 --genmaxrank 750 --compmaxrank 750 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 1800 1800   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 13 1 0 1 900 900 900   40.7268 17 706   43.1859 2 706   2877010782895.202148 960070338960.509521 958470221939.631104 958470221995.061401    91.680244 485.937204 0.168554 0.467761 1.274652    6.279000e+15 1.091533e+15 5.187467e+15 1.164553e+13 6.267355e+15 0.210417 0.001858   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 1800 -e 1e-8 --maxrank 900 -j 1080000 -v -c 31 --genmaxrank 900 --compmaxrank 900 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 2400 2400   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 8 1 0 1 1200 1200 1200   47.7092 17 820   54.1476 2 820   2156958828748.433594 720053021352.207642 718452903670.558350 718452903725.667603    169.380020 383.687590 0.077056 0.556899 0.486231    5.304538e+15 7.895836e+14 4.514955e+15 2.069323e+13 5.283845e+15 0.174882 0.003916   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 2400 -e 1e-8 --maxrank 1200 -j 1080000 -v -c 31 --genmaxrank 1200 --compmaxrank 1200 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 2700 2700   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 7 1 0 1 1350 1350 1350   51.586 18 900   60.0278 2 900   1916941854902.718750 640047363792.027588 638447245530.012207 638447245580.678955    194.602101 399.076150 0.061680 0.367192 0.337602    5.068772e+15 7.651197e+14 4.303652e+15 2.618349e+13 5.042589e+15 0.177784 0.005192   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 2700 -e 1e-8 --maxrank 1350 -j 1080000 -v -c 31 --genmaxrank 1350 --compmaxrank 1350 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 3000 3000   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 8 1 0 1 1500 1500 1500   54.8866 19 944   64.1514 3 944   1724928369366.138916 576042869041.919312 574442750123.049438 574442750201.170166    222.415931 466.457978 0.065529 0.451634 0.249412    5.049946e+15 1.066338e+15 3.983607e+15 3.231738e+13 5.017628e+15 0.267682 0.006441   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 3000 -e 1e-8 --maxrank 1500 -j 1080000 -v -c 31 --genmaxrank 1500 --compmaxrank 1500 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 3375 3375   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 6 1 0 1 1687 1687 1687   59.5302 19 1033   71.7013 3 1033   1532914758970.655273 512038332722.515747 510438213092.168335 510438213155.971191    253.453790 465.240133 0.048500 0.556945 0.174343    4.698691e+15 8.233896e+14 3.875301e+15 4.088910e+13 4.657802e+15 0.212471 0.008779   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 3375 -e 1e-8 --maxrank 1687 -j 1080000 -v -c 31 --genmaxrank 1687 --compmaxrank 1687 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 3600 3600   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 6 1 0 1 1800 1800 1800   62.3544 19 1104   75.7203 3 1104   1436908276519.395996 480036172409.100220 478436052021.156982 478436052089.138855    280.463392 522.479385 0.177567 0.632277 0.148060    4.691742e+15 9.009563e+14 3.790785e+15 4.651409e+13 4.645227e+15 0.237670 0.010013   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 3600 -e 1e-8 --maxrank 1800 -j 1080000 -v -c 31 --genmaxrank 1800 --compmaxrank 1800 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 4000 4000   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 5 1 0 1 2000 2000 2000   66.5303 21 1241   82.3132 4 1241   1292898114126.689941 432032785510.977051 430432664274.280823 430432664341.432251    319.095660 541.553030 0.039332 0.775892 0.105863    4.405779e+15 7.934919e+14 3.612287e+15 5.740584e+13 4.348373e+15 0.219665 0.013202   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 4000 -e 1e-8 --maxrank 2000 -j 1080000 -v -c 31 --genmaxrank 2000 --compmaxrank 2000 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 4500 4500   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 5 1 0 1 2250 2250 2250   72.7314 21 1314   91.1364 4 1314   1148887845814.550293 384029363340.723999 382429241198.014587 382429241275.811707    345.933376 596.401699 0.036484 0.967530 0.074021    4.413290e+15 9.393758e+14 3.473914e+15 7.262420e+13 4.340666e+15 0.270408 0.016731   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 4500 -e 1e-8 --maxrank 2250 -j 1080000 -v -c 31 --genmaxrank 2250 --compmaxrank 2250 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 5000 5000   300 300   128 8 16 31   4 st-3d-exp 1.0e-08 1.08e+06 0 3.34396e+151   0 4 1 0 1 2500 2500 2500   79.0656 22 1406   101.325 4 1406   1033679723824.950195 345626656677.996216 344026533533.527588 344026533613.426453    393.894138 728.822172 0.091560 1.201885 0.054049    4.225734e+15 7.858712e+14 3.439863e+15 8.962230e+13 4.136111e+15 0.228460 0.021668   554eb669378225bdc48391469dd0dfabd056e1b3    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 16 -N 1080000 -t 5000 -e 1e-8 --maxrank 2500 -j 1080000 -v -c 31 --genmaxrank 2500 --compmaxrank 2500 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
